Location,GDP per capita
Albania,5353.24
Argentina,9912.28
Australia,55060.32
Austria,50137.66
Azerbaijan,4793.59
Bahrain,23503.98
Belarus,6663.3
Bosnia and Herzegovina,6108.51
Botswana,7961.33
Brazil,8717.19
Brunei Darussalam,31086.75
Bulgaria,9828.15
Cabo Verde,3603.78
Canada,46194.73
Chile,14896.45
Costa Rica,12243.81
Dominican Republic,8282.12
Ecuador,6183.82
El Salvador,4187.25
Georgia,4697.7
Ghana,2202.12
Greece,19582.54
Guatemala,4619.99
Hungary,16731.82
India,2099.6
Iran (Islamic Republic of),5550.06
Ireland,78660.95
Italy,33228.24
Jamaica,5582.26
Jordan,4405.49
Kenya,1816.55
Kyrgyzstan,1309.39
Luxembourg,114704.59
Malta,29820.6
Mauritius,11099.24
Montenegro,8908.93
Morocco,3204.09
Namibia,4957.46
New Zealand,42084.35
Nicaragua,1912.9
North Macedonia,6022.22
"occupied Palestinian territory, including east Jerusalem",3562.33
Paraguay,5414.8
Qatar,62088.06
Republic of Korea,31846.22
Republic of Moldova,4503.52
Romania,12919.53
Russian Federation,11585
Rwanda,820.03
Samoa,4324.01
Saudi Arabia,23139.8
Senegal,1446.83
Seychelles,17448.27
Slovakia,19266.28
South Africa,6001.4
Spain,29600.38
Uganda,794.34
Ukraine,3659.03
United Republic of Tanzania,1122.12
